[2022-09-02 20:50:59 : INFO] - Processing task with ID : 594, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 594 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/woocommerce-placeholder.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 593, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 593 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/TG-Logo-Small.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 592, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 592 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-14-at-12.14.56-AM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 591, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 591 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-14-at-12.16.29-AM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 590, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 590 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-14-at-12.23.07-AM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 589, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 589 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-14-at-12.22.50-AM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 588, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 588 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-14-at-12.22.23-AM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 587, and type 'smush' 
[2022-09-02 20:50:59 : INFO] - Task with ID 587 and type (smush) failed with error code invalid_file_type - /home/uoxruhuf/public_html/online/wp-content/uploads/2022/08/Screenshot-2022-08-14-at-12.22.03-AM.webp - cannot be optimized, it has an invalid file type 
[2022-09-02 20:50:59 : INFO] - Processing task with ID : 586, and type 'smush' 
